orthogroup	generated_id	original_id	length	acidic_fraction	cysteine_fraction	low_complexity_fraction	signalp_prediction	signalp_probability	deeptmhmm_class	tm_count	pfam_domains	blast_top_description	blast_top_evalue
OG0000049	OG0000049__000001	jgi|Callep1130_1|3138232|fgenesh1_kg.261_#_45_#_TRINITY_DN12028_c0_g1_i1	901	0.141	0.023	0.113	Other	0.000	GLOB	0			
OG0000049	OG0000049__000002	jgi|Callep1130_1|3806065|MIX74022_6_14	722	0.102	0.030	0.094	Other	0.000	GLOB	0			
OG0000049	OG0000049__000003	jgi|Callep1130_1|3817091|MIX85048_4_10	1022	0.136	0.020	0.122	Other	0.000	GLOB	0			
OG0000049	OG0000049__000004	jgi|Callep1130_1|4212222|gm4et.273_g	1098	0.127	0.022	0.115	Other	0.000	GLOB	0			
OG0000049	OG0000049__000005	jgi|Callep1130_1|4212342|gm4et.393_g	941	0.135	0.024	0.129	Other	0.000	GLOB	0			
OG0000049	OG0000049__000006	jgi|Callep1130_1|4214207|gm4et.2258_g	371	0.121	0.067	0.127	Other	0.000	GLOB	0			
OG0000049	OG0000049__000007	jgi|Callep1130_1|4215996|gm4et.4047_g	368	0.120	0.005	0.128	Other	0.000	GLOB	0			
OG0000049	OG0000049__000008	jgi|Callep1130_1|4218340|gm4et.6391_g	240	0.079	0.008	0.133	Other	0.000	GLOB	0			
OG0000049	OG0000049__000009	jgi|Callep1130_1|4218341|gm4et.6392_g	454	0.167	0.020	0.126	Other	0.000	GLOB	0			
OG0000049	OG0000049__000010	jgi|Callep1130_1|4218985|gm4et.7036_g	1358	0.131	0.026	0.125	Other	0.000	GLOB	0			
OG0000049	OG0000049__000011	jgi|Callep1130_1|4220662|gm4et.8713_g	953	0.136	0.017	0.145	Other	0.002	GLOB	0			
OG0000049	OG0000049__000012	jgi|Callep1130_1|4221290|gm4et.9341_g	153	0.078	0.013	0.131	Other	0.000	GLOB	0			
OG0000049	OG0000049__000013	jgi|Callep1130_1|4221671|gm4et.9722_g	299	0.120	0.050	0.130	Other	0.000	GLOB	0			
OG0000049	OG0000049__000014	jgi|Callep1130_1|4221809|gm4et.9860_g	891	0.136	0.025	0.123	Other	0.000	GLOB	0			
OG0000049	OG0000049__000015	jgi|Callep1130_1|4222383|gm4et.10434_g	476	0.134	0.006	0.126	Other	0.000	GLOB	0			
OG0000049	OG0000049__000016	jgi|Callep1130_1|4222874|gm4et.10925_g	1210	0.135	0.020	0.121	Other	0.000	GLOB	0			
OG0000049	OG0000049__000017	jgi|Callep1130_1|4223254|gm4et.11305_g	1233	0.144	0.025	0.143	Other	0.000	GLOB	0			
OG0000049	OG0000049__000018	jgi|Callep1130_1|4223402|gm4et.11453_g	757	0.147	0.021	0.133	Other	0.000	GLOB	0			
OG0000049	OG0000049__000019	jgi|Callep1130_1|4224357|gm4et.12408_g	192	0.193	0.010	0.146	Other	0.000	GLOB	0			
OG0000049	OG0000049__000020	jgi|Callep1130_1|4224972|gm4et.13023_g	1080	0.127	0.018	0.104	Other	0.000	GLOB	0			
OG0000049	OG0000049__000021	jgi|Callep1130_1|4225019|gm4et.13070_g	704	0.111	0.027	0.104	Other	0.000	GLOB	0			
