jgi|Callep1130_1|3302777|fgenesh1_kg.1085_#_109_#_TRINITY_DN6431_c0_g1_i1	sp|P37039|NCPR_CAVPO	sp|P37039|NCPR_CAVPO NADPH--cytochrome P450 reductase OS=Cavia porcellus OX=10141 GN=Por PE=2 SV=2	36.296	675	3.45e-132	406
jgi|Callep1130_1|3302777|fgenesh1_kg.1085_#_109_#_TRINITY_DN6431_c0_g1_i1	sp|Q0J705|NCPR2_ORYSJ	sp|Q0J705|NCPR2_ORYSJ NADPH--cytochrome P450 reductase 2 OS=Oryza sativa subsp. japonica OX=39947 GN=CPR2 PE=1 SV=2	38.658	626	2.02e-127	395
jgi|Callep1130_1|3302777|fgenesh1_kg.1085_#_109_#_TRINITY_DN6431_c0_g1_i1	sp|Q3SYT8|NCPR_BOVIN	sp|Q3SYT8|NCPR_BOVIN NADPH--cytochrome P450 reductase OS=Bos taurus OX=9913 GN=POR PE=2 SV=3	37.400	623	4.45e-127	393
jgi|Emihu1|221860|gm1.9900069	sp|P00389|NCPR_RABIT	sp|P00389|NCPR_RABIT NADPH--cytochrome P450 reductase OS=Oryctolagus cuniculus OX=9986 GN=POR PE=1 SV=1	36.548	197	2.47e-26	115
jgi|Emihu1|221860|gm1.9900069	sp|P00389|NCPR_RABIT	sp|P00389|NCPR_RABIT NADPH--cytochrome P450 reductase OS=Oryctolagus cuniculus OX=9986 GN=POR PE=1 SV=1	31.858	226	1.79e-22	103
jgi|Emihu1|221860|gm1.9900069	sp|C5YJG8|NCPR_SORBI	sp|C5YJG8|NCPR_SORBI NADPH--cytochrome P450 reductase OS=Sorghum bicolor OX=4558 GN=CPR PE=1 SV=1	34.337	166	2.53e-25	112
jgi|Emihu1|221860|gm1.9900069	sp|C5YJG8|NCPR_SORBI	sp|C5YJG8|NCPR_SORBI NADPH--cytochrome P450 reductase OS=Sorghum bicolor OX=4558 GN=CPR PE=1 SV=1	34.239	184	2.86e-16	85.1
jgi|Emihu1|221860|gm1.9900069	sp|Q3SYT8|NCPR_BOVIN	sp|Q3SYT8|NCPR_BOVIN NADPH--cytochrome P450 reductase OS=Bos taurus OX=9913 GN=POR PE=2 SV=3	34.135	208	2.86e-25	112
jgi|Emihu1|221860|gm1.9900069	sp|Q3SYT8|NCPR_BOVIN	sp|Q3SYT8|NCPR_BOVIN NADPH--cytochrome P450 reductase OS=Bos taurus OX=9913 GN=POR PE=2 SV=3	30.493	223	6.94e-22	102
jgi|Gepoce1|380080|evm.geph.scaffold_2969.1	sp|Q27597|NCPR_DROME	sp|Q27597|NCPR_DROME NADPH--cytochrome P450 reductase OS=Drosophila melanogaster OX=7227 GN=Cpr PE=1 SV=2	39.485	233	4.36e-42	154
jgi|Gepoce1|380080|evm.geph.scaffold_2969.1	sp|Q0J705|NCPR2_ORYSJ	sp|Q0J705|NCPR2_ORYSJ NADPH--cytochrome P450 reductase 2 OS=Oryza sativa subsp. japonica OX=39947 GN=CPR2 PE=1 SV=2	36.207	232	6.07e-41	151
jgi|Gepoce1|380080|evm.geph.scaffold_2969.1	sp|C5YJG8|NCPR_SORBI	sp|C5YJG8|NCPR_SORBI NADPH--cytochrome P450 reductase OS=Sorghum bicolor OX=4558 GN=CPR PE=1 SV=1	35.776	232	1.21e-40	150
