OG	n_seq	function_summary	top_pfam_domains	top_blast_hits	blast_best_evalue	signalp_sp_count	tmhmm_breakdown	localization_note	calcification_relevance	calcification_rationale
OG0000049	502	FKBP-15-like peptidyl-prolyl isomerase / coiled-coil scaffolding protein (large 502-seq family, mostly in Callep/Pleelo)	FKBP15 (PF23649.2, n=7, FK506-binding protein 15-like domain); CCDC39 (PF24161.2, n=2, Coiled-coil domain-containing protein 39); ODF2_C (PF27605.1, n=2, ODF2 C-terminal coiled coil domain); T4SS_LegC2C7 (PF28175.1, n=1, Dot/Icm T4SS effector LegC2/C7); MAD (PF05557.19, n=1, Mitotic checkpoint protein); Rod_CreS (PF19220.7, n=1, Crescentin, rod domain)	Endonuclease III homolog; Endonuclease III-like protein 1; Endonuclease III-like protein 1	7.1e-11	2	GLOB=495, SP=4, TM=3	2/502 w/ signal peptide; 3/502 with TM	unlikely	FKBP/coiled-coil functions (cytoskeleton, protein folding) — no established calcification link; note 495/502 globular.
OG0001332	91	Hint-domain / Hedgehog-like auto-processing proteins (Warthog/Desert-hedgehog blast); 73/91 with TM	Hint (PF01079.26, n=85, Hint module); Trypsin (PF00089.33, n=2, Trypsin); Hint_2 (PF13403.12, n=2, Hint domain); Recep_L_domain (PF01030.32, n=1, Receptor L domain); Trypsin_2 (PF13365.13, n=1, Trypsin-like peptidase domain)	Warthog protein 4; Warthog protein 8; Desert hedgehog protein	1.2e-15	1	GLOB=13, SP=2, SP+TM=3, TM=73	1/91 w/ signal peptide; 76/91 with TM	moderate	Hedgehog signalling autoprocessing domain. In metazoans hedgehog regulates osteoblast differentiation/endochondral ossification; in protists Hint proteins can process adhesive peptides. Possible role in cell-matrix signalling relevant to biomineralisation; high TM fraction suggests membrane-anchored processors.
OG0001976	73	Pentapeptide-repeat / decapeptide-repeat proteins (72 seqs with PF00805); blast hits to cyanobacterial slr proteins	Pentapeptide (PF00805.29, n=72, Pentapeptide repeats (8 copies)); Pentapeptide_4 (PF13599.14, n=70, Pentapeptide repeat region); Pentapeptide_3 (PF13576.13, n=70, Pentapeptide repeats (9 copies)); Decapeptide (PF25296.2, n=39, Decapeptide repeat region); LD_SV2 (PF23894.3, n=24, SV2A/B/C luminal domain)	Uncharacterized protein in mobD 3'region; Uncharacterized protein slr1819; Uncharacterized protein slr1152	2.3e-22	4	GLOB=60, SP=10, TM=3	4/73 w/ signal peptide; 3/73 with TM	moderate	Pentapeptide repeats form right-handed quadrilateral β-helices; a subfamily (RfrA-like) binds Ca2+/regulates inorganic carbon uptake in cyanobacteria and has been reported in algal CCM contexts. Relevance via carbon concentration / Ca2+ handling plausible but indirect.
OG0002887	59	PIF1-like DNA helicase (nuclear/mitochondrial genome maintenance)	PIF1 (PF05970.21, n=18, PIF1-like helicase); Pif1_2B_dom (PF21530.4, n=17, DNA helicase Pif1, 2B domain); AAA_30 (PF13604.13, n=7, AAA domain); DnaJ (PF00226.37, n=3, DnaJ domain); Helitron_like_N (PF14214.12, n=2, Helitron helicase-like domain at N-terminus); Herpes_Helicase (PF02689.21, n=1, Helicase)	ATP-dependent DNA helicase PIF1; ATP-dependent DNA helicase PIF1; ATP-dependent DNA helicase PIF1	8.4e-18	1	GLOB=59	1/59 w/ signal peptide	unlikely	DNA helicase — housekeeping role, no calcification link.
OG0003717	51	Uncharacterised (no blast/PFAM hit); mostly globular, 4 TM	no PFAM hit	no blast hit	NA	0	GLOB=47, TM=4	4/51 with TM	weak	No functional evidence; lineage-restricted hypothetical protein. Cannot be assessed.
OG0009246	29	Asparaginyl-tRNA synthetase (PF00152) but blast picks up Adhesive-plaque-matrix / Collagen-alpha-5(VI); 11/31 have signal peptide	tRNA-synt_2 (PF00152.26, n=1, tRNA synthetases class II (D, K and N))	Adhesive plaque matrix protein; Collagen alpha-5(VI) chain	2.1e-08	9	GLOB=14, SP=11, SP+TM=2, TM=2	9/29 w/ signal peptide; 4/29 with TM	moderate	BLAST to mussel adhesive-plaque-matrix and type-VI collagen suggests a secreted matrix-like protein with an embedded aaRS domain. High signal-peptide fraction is consistent with an extracellular matrix role relevant to coccolith/biofilm matrix, though the tRNA-synthetase annotation is ambiguous.
OG0009301	29	Proline-rich-membrane-anchor / SHOCT domain; blast to RNA pol II CTD (likely low-complexity artefact); 11 SP + 11 SP+TM	SHOCT (PF09851.15, n=4, Short C-terminal domain); PRIMA1 (PF16101.11, n=1, Proline-rich membrane anchor 1)	DNA-directed RNA polymerase II subunit RPB1; DNA-directed RNA polymerase II subunit RPB1; DNA-directed RNA polymerase II subunit RPB1	8.5e-04	21	GLOB=3, SP=11, SP+TM=11, TM=4	21/29 w/ signal peptide; 15/29 with TM	weak	Very high signal-peptide+TM fraction suggests membrane-anchored secreted protein. Function ambiguous; proline-rich repeats resemble RNA-pol CTDs but the localisation pattern is consistent with coccolith-vesicle membrane scaffolds.
OG0009816	28	α-1,3-mannosyltransferase (MNN13/14/15 family, PF11051); 3 SP / 6 TM	Mannosyl_trans3 (PF11051.15, n=15, Mannosyltransferase putative)	Putative alpha-1,3-mannosyltransferase MNN14; Alpha-1,3-mannosyltransferase MNN15; Putative alpha-1,3-mannosyltransferase MNN13	1.9e-12	2	GLOB=19, SP=3, SP+TM=1, TM=5	2/28 w/ signal peptide; 6/28 with TM	moderate	Golgi mannosyltransferase — glycosylates coccolith/matrix glycoproteins. Relevant because biomineralisation matrix proteins are heavily glycosylated and N/O-glycan patterns influence CaCO3 nucleation.
OG0010177	28	Ankyrin-repeat protein (24 ANK/KRIT1 domains); globular	Ank_2 (PF12796.14, n=24, Ankyrin repeats (3 copies)); Ank (PF00023.37, n=24, Ankyrin repeat); Ank_4 (PF13637.13, n=24, Ankyrin repeats (many copies)); Ank_5 (PF13857.13, n=24, Ankyrin repeats (many copies)); Ank_3 (PF13606.13, n=24, Ankyrin repeat); Ank_KRIT1 (PF24521.3, n=22, KRIT1 ankyrin-repeats domain)	Putative ankyrin repeat protein RBE_0220; Ankyrin repeat domain-containing protein 29; Ankyrin repeat domain-containing protein 17	3.5e-16	0	GLOB=28	28/28 globular	unlikely	Intracellular scaffolding; no direct calcification link.
OG0010867	27	Pentapeptide-repeat protein (27 PF00805 hits)	Pentapeptide (PF00805.29, n=27, Pentapeptide repeats (8 copies)); Pentapeptide_3 (PF13576.13, n=26, Pentapeptide repeats (9 copies)); Pentapeptide_4 (PF13599.14, n=25, Pentapeptide repeat region); Decapeptide (PF25296.2, n=9, Decapeptide repeat region); LD_SV2 (PF23894.3, n=5, SV2A/B/C luminal domain)	Uncharacterized protein slr1819; Uncharacterized protein in mobD 3'region; Uncharacterized protein slr1152	9.9e-23	1	GLOB=23, SP=4	1/27 w/ signal peptide	moderate	See OG0001976 — pentapeptide repeats can carry Ca2+-binding/CCM function in cyanobacteria/algae; plausible indirect role in carbon-concentrating mechanism.
