og	short_id	orig_id	length	tmr_count	tmhmm_label	signalp_prediction	signalp_cs_pos	signalp_sp_likelihood
OG0000049	OG0000049__000001	jgi|Callep1130_1|3138232|fgenesh1_kg.261_#_45_#_TRINITY_DN12028_c0_g1_i1	901	0	GLOB	Other		0.000
OG0000049	OG0000049__000002	jgi|Callep1130_1|3806065|MIX74022_6_14	722	0	GLOB	Other		0.000
OG0000049	OG0000049__000003	jgi|Callep1130_1|3817091|MIX85048_4_10	1022	0	GLOB	Other		0.000
OG0000049	OG0000049__000004	jgi|Callep1130_1|4212222|gm4et.273_g	1098	0	GLOB	Other		0.000
OG0000049	OG0000049__000005	jgi|Callep1130_1|4212342|gm4et.393_g	941	0	GLOB	Other		0.000
OG0000049	OG0000049__000006	jgi|Callep1130_1|4214207|gm4et.2258_g	371	0	GLOB	Other		0.000
OG0000049	OG0000049__000007	jgi|Callep1130_1|4215996|gm4et.4047_g	368	0	GLOB	Other		0.000
OG0000049	OG0000049__000008	jgi|Callep1130_1|4218340|gm4et.6391_g	240	0	GLOB	Other		0.000
OG0000049	OG0000049__000009	jgi|Callep1130_1|4218341|gm4et.6392_g	454	0	GLOB	Other		0.000
OG0000049	OG0000049__000010	jgi|Callep1130_1|4218985|gm4et.7036_g	1358	0	GLOB	Other		0.000
OG0000049	OG0000049__000011	jgi|Callep1130_1|4220662|gm4et.8713_g	953	0	GLOB	Other		0.002
OG0000049	OG0000049__000012	jgi|Callep1130_1|4221290|gm4et.9341_g	153	0	GLOB	Other		0.000
OG0000049	OG0000049__000013	jgi|Callep1130_1|4221671|gm4et.9722_g	299	0	GLOB	Other		0.000
OG0000049	OG0000049__000014	jgi|Callep1130_1|4221809|gm4et.9860_g	891	0	GLOB	Other		0.000
OG0000049	OG0000049__000015	jgi|Callep1130_1|4222383|gm4et.10434_g	476	0	GLOB	Other		0.000
OG0000049	OG0000049__000016	jgi|Callep1130_1|4222874|gm4et.10925_g	1210	0	GLOB	Other		0.000
OG0000049	OG0000049__000017	jgi|Callep1130_1|4223254|gm4et.11305_g	1233	0	GLOB	Other		0.000
OG0000049	OG0000049__000018	jgi|Callep1130_1|4223402|gm4et.11453_g	757	0	GLOB	Other		0.000
OG0000049	OG0000049__000019	jgi|Callep1130_1|4224357|gm4et.12408_g	192	0	GLOB	Other		0.000
OG0000049	OG0000049__000020	jgi|Callep1130_1|4224972|gm4et.13023_g	1080	0	GLOB	Other		0.000
OG0000049	OG0000049__000021	jgi|Callep1130_1|4225019|gm4et.13070_g	704	0	GLOB	Other		0.000
OG0000049	OG0000049__000022	jgi|Callep1130_1|4225021|gm4et.13072_g	478	0	GLOB	Other		0.000
OG0000049	OG0000049__000023	jgi|Callep1130_1|4226467|gm4et.14518_g	1205	0	GLOB	Other		0.000
OG0000049	OG0000049__000024	jgi|Callep1130_1|4226949|gm4et.15000_g	917	0	GLOB	Other		0.000
OG0000049	OG0000049__000025	jgi|Callep1130_1|4227327|gm4et.15378_g	792	0	GLOB	Other		0.000
OG0000049	OG0000049__000026	jgi|Callep1130_1|4228986|gm4et.17037_g	516	0	GLOB	Other		0.000
OG0000049	OG0000049__000027	jgi|Callep1130_1|4230272|gm4et.18323_g	468	0	GLOB	Other		0.000
OG0000049	OG0000049__000028	jgi|Callep1130_1|4230273|gm4et.18324_g	239	0	GLOB	Other		0.000
OG0000049	OG0000049__000029	jgi|Callep1130_1|4231264|gm4et.19315_g	730	0	GLOB	Other		0.000
OG0000049	OG0000049__000030	jgi|Callep1130_1|4233414|gm4et.21465_g	987	0	GLOB	Other		0.000
OG0000049	OG0000049__000031	jgi|Callep1130_1|4233961|gm4et.22012_g	877	0	GLOB	Other		0.000
OG0000049	OG0000049__000032	jgi|Callep1130_1|4234355|gm4et.22406_g	212	0	GLOB	Other		0.000
OG0000049	OG0000049__000033	jgi|Callep1130_1|4234781|gm4et.22832_g	1157	0	GLOB	Other		0.000
OG0000049	OG0000049__000034	jgi|Callep1130_1|4234818|gm4et.22869_g	1037	0	GLOB	Other		0.000
OG0000049	OG0000049__000035	jgi|Callep1130_1|4236203|gm4et.24254_g	257	0	GLOB	Other		0.000
OG0000049	OG0000049__000036	jgi|Callep1130_1|4236204|gm4et.24255_g	746	0	GLOB	Other		0.000
OG0000049	OG0000049__000037	jgi|Callep1130_1|4236225|gm4et.24276_g	922	0	GLOB	Other		0.000
OG0000049	OG0000049__000038	jgi|Callep1130_1|4236248|gm4et.24299_g	1116	0	GLOB	Other		0.000
OG0000049	OG0000049__000039	jgi|Callep1130_1|4236249|gm4et.24300_g	205	0	GLOB	Other		0.000
OG0000049	OG0000049__000040	jgi|Callep1130_1|4237384|gm4et.25435_g	1173	0	GLOB	Other		0.000
OG0000049	OG0000049__000041	jgi|Callep1130_1|4237457|gm4et.25508_g	485	0	GLOB	Other		0.000
OG0000049	OG0000049__000042	jgi|Callep1130_1|4238104|gm4et.26155_g	779	0	GLOB	Other		0.000
OG0000049	OG0000049__000043	jgi|Callep1130_1|4240059|gm4et.28110_g	410	0	GLOB	Other		0.000
OG0000049	OG0000049__000044	jgi|Callep1130_1|4240060|gm4et.28111_g	144	0	GLOB	Other		0.000
OG0000049	OG0000049__000045	jgi|Callep1130_1|4240080|gm4et.28131_g	422	0	GLOB	Other		0.000
OG0000049	OG0000049__000046	jgi|Callep1130_1|4240207|gm4et.28258_g	1184	0	GLOB	Other		0.000
OG0000049	OG0000049__000047	jgi|Callep1130_1|4240902|gm4et.28953_g	59	0	GLOB	Other		0.000
OG0000049	OG0000049__000048	jgi|Callep1130_1|4241221|gm4et.29272_g	324	0	GLOB	Other		0.000
OG0000049	OG0000049__000049	jgi|Callep1130_1|4242674|gm4et.30725_g	817	0	GLOB	Other		0.000
OG0000049	OG0000049__000050	jgi|Callep1130_1|4243081|gm4et.31132_g	164	0	GLOB	Other		0.000
OG0000049	OG0000049__000051	jgi|Callep1130_1|4245640|gm4et.33691_g	1252	0	GLOB	Other		0.000
