"orthogroup"	"final_relevance"	"final_function"	"model_score_mean"	"model_score_sd"	"model_score_range"	"overcalled_by_runs"	"undercalled_by_runs"	"audit_note"	"Claude_app_run1"	"Claude_app_run2"	"Claude_app_run3"	"Claude_code_run1"	"Claude_code_run2"	"Claude_code_run3"	"Codex_app_run1"	"Codex_app_run2"	"Codex_app_run3"
"OG0000049"	"Low"	"Heterogeneous FKBP15/coiled-coil-like expanded family"	"1.06"	"0.88"	"0.5-2.5"	"Claude_app_run1;Codex_app_run2;Codex_app_run3"	""	"Several runs over-interpreted weak heterogeneous hits."	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0001332"	"Watchlist"	"Hint-domain or Hedgehog-Warthog-like membrane autoprocessing proteins"	"1.61"	"1.05"	"0.5-2.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Codex_app_run1"	"Moderate calls rely on metazoan Hedgehog skeletal biology not shown by these data."	"LOW???MEDIUM"	"background"	"LOW (signalling)"	"low"	"LOW-MEDIUM"	"moderate"	"low"	"plausible indirect"	"possible"
"OG0001976"	"Watchlist"	"Pentapeptide-repeat protein family"	"1.56"	"1.33"	"0.5-4"	"Claude_app_run1;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Claude_code_run2;Codex_app_run1"	"Literature support justifies watchlist status; Ca/carbonate-binding claims remain overreach without orthogroup-specific validation."	"MEDIUM???HIGH"	"background"	"UNLIKELY"	"low"	"LOW"	"moderate"	"low"	"plausible indirect"	"possible"
"OG0002887"	"Low"	"PIF1-family DNA helicase"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0003717"	"Low"	"Uncharacterized family"	"0.94"	"0.53"	"0.5-1.5"	"Claude_app_run1;Claude_app_run3;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"CANDIDATE (orphan, weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0009246"	"Moderate"	"Secreted adhesive or ECM-like protein family with weak collagen/adhesive BLAST support"	"2.72"	"1.44"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Codex_app_run1;Codex_app_run3"	"Claude_app_run2;Codex_app_run2"	"High calls should be qualified because matrix annotation rests on few hits."	"HIGH"	"low"	"HIGH"	"medium"	"MEDIUM"	"moderate"	"high"	"low/indirect"	"high"
"OG0009301"	"Moderate"	"Secreted or membrane-anchored proline-rich/SHOCT-like surface protein"	"2.28"	"1.28"	"0.5-4"	"Claude_app_run1;Codex_app_run3"	"Claude_code_run1;Claude_code_run3;Codex_app_run1"	"RNA polymerase annotation is misleading; high direct calcification calls are overstated."	"MEDIUM???HIGH"	"medium"	"MEDIUM (secreted membrane)"	"low"	"MEDIUM"	"weak"	"low"	"plausible indirect"	"high"
"OG0009816"	"Moderate"	"Golgi alpha-1,3-mannosyltransferase-like enzyme"	"2.22"	"1.09"	"0.5-4"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1"	""	"MEDIUM"	"background"	"MEDIUM"	"low"	"LOW-MEDIUM"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0010177"	"Low"	"Ankyrin-repeat scaffold protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0010867"	"Watchlist"	"Pentapeptide-repeat protein family"	"1.33"	"1.32"	"0.5-4"	"Claude_app_run1;Claude_code_run3;Codex_app_run2"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Claude_code_run2;Codex_app_run1;Codex_app_run3"	"Literature support is motif-level and does not prove this orthogroup is a coccolith protein."	"MEDIUM???HIGH"	"background"	"UNLIKELY"	"low"	"LOW"	"moderate"	"low"	"plausible indirect"	"low"
"OG0010991"	"Watchlist"	"Uncharacterized family with minor secretion signal"	"1.17"	"0.71"	"0.5-2.5"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"UNKNOWN"	"background"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0011061"	"Moderate"	"Exostosin/GT47-like membrane glycosyltransferase candidate"	"2.94"	"1.18"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Claude_code_run2;Codex_app_run3"	"Claude_app_run2"	"Several runs called this high despite only 2/27 PFAM-supported sequences."	"HIGH"	"low"	"HIGH"	"medium"	"HIGH"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0011197"	"Low"	"2OG-Fe(II) oxygenase or RAP-like protein"	"1.06"	"0.88"	"0.5-2.5"	"Claude_code_run2;Claude_code_run3;Codex_app_run3"	""	"Hydroxylase-to-collagen extrapolations are speculative."	"LOW"	"background"	"UNLIKELY"	"low"	"LOW-MEDIUM"	"weak"	"low"	"low/unclear"	"possible"
"OG0013037"	"Low"	"Weak serine hydrolase or aminopeptidase-like family"	"1.06"	"0.88"	"0.5-2.5"	"Claude_app_run1;Claude_code_run3;Codex_app_run3"	""	""	"LOW???MEDIUM"	"background"	"LOW"	"low"	"LOW"	"weak"	"low"	"low/unclear"	"possible"
"OG0014155"	"Watchlist"	"Secreted or lumenal inosine-uridine nucleoside hydrolase"	"1.39"	"1.05"	"0.5-2.5"	"Claude_code_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2"	"Claude_app_run1;Claude_app_run2;Claude_app_run3;Codex_app_run1;Codex_app_run3"	"Secreted housekeeping enzymes were often over-ranked as ECM candidates."	"LOW"	"low"	"UNLIKELY (metabolism)"	"medium"	"LOW-MEDIUM"	"moderate"	"low"	"plausible indirect"	"low"
"OG0014250"	"Low"	"Amidase or Glu-tRNA(Gln) amidotransferase-like enzyme"	"1.5"	"1"	"0.5-2.5"	"Claude_app_run1;Claude_code_run1;Claude_code_run3;Codex_app_run2;Codex_app_run3"	""	"Medium calls based only on secretion are weak."	"LOW???MEDIUM"	"low"	"UNLIKELY"	"medium"	"LOW"	"weak"	"low"	"plausible indirect"	"possible"
