orthogroup	sequence_count	length_range	top_blast_description	blast_summary	top_pfam_description	pfam_summary	deeptmhmm_type_summary	signalp_fraction	predicted_function	function_basis	calcification_relevance	calcification_rationale	annotation_confidence
OG0009246	29	56-905	Adhesive plaque matrix protein	Adhesive plaque matrix protein (3); Collagen alpha-5(VI) chain (1)	tRNA synthetases class II (D, K and N)	tRNA synthetases class II (D, K and N) (1)	GLOB:14, SP:11, SP+TM:2, TM:2	9/29	Secreted adhesive ECM/collagen-like protein	Adhesive plaque matrix and collagen-like BLAST hits together with strong secretion signatures	high	Secreted adhesive or collagenous matrix proteins are prime candidates for organic templates that nucleate or shape mineral deposition	medium
OG0009301	29	88-477	DNA-directed RNA polymerase II subunit RPB1	DNA-directed RNA polymerase II subunit RPB1 (3)	Short C-terminal domain	Short C-terminal domain (4); Proline-rich membrane anchor 1 (1)	GLOB:3, SP:11, SP+TM:11, TM:4	21/29	Secreted or membrane-anchored surface protein	Very strong signal peptide and signal-anchor enrichment plus a PRIMA1-like membrane-anchor PFAM hit	high	Membrane-tethered extracellular proteins could display or organize calcification-matrix components at the cell surface	medium
OG0009816	28	141-1100	Putative alpha-1,3-mannosyltransferase MNN14	Putative alpha-1,3-mannosyltransferase MNN14 (10); Putative alpha-1,3-mannosyltransferase MNN12 (7); Putative alpha-1,3-mannosyltransferase MNN13 (7)	Mannosyltransferase putative	Mannosyltransferase putative (15)	GLOB:19, SP:3, SP+TM:1, TM:5	2/28	Golgi alpha-1,3-mannosyltransferase	MNN12 MNN13 and MNN14 BLAST hits plus mannosyltransferase PFAM support	high	Glycosylation of secreted matrix proteins and polysaccharides can modulate calcium binding and crystal growth	high
OG0011061	27	118-2442	Putative PWWP domain-containing DNA repair factor 4	Putative PWWP domain-containing DNA repair factor 4 (3); Protein piccolo (3); Titin homolog (1)	Exostosin GT47 domain	Exostosin GT47 domain (2)	SP+TM:9, TM:18	9/27	Membrane exostosin or GT47 glycosyltransferase	Exostosin GT47 PFAM support plus universal membrane-associated topology	high	Glycan polymer synthesis is a strong candidate process for building the organic matrix used during calcification	high
OG0016203	18	115-1278	Collagen alpha-2(IV) chain	Collagen alpha-2(IV) chain (19); Collagen alpha-1(IV) chain (18); Hexamerin 110 (8)	Regulator of chromosome condensation (RCC1) repeat	Regulator of chromosome condensation (RCC1) repeat (2); Collagen triple helix repeat (20 copies) (1); RCC1-like domain (1)	GLOB:2, SP:1, SP+TM:2, TM:13	1/18	Collagen-like extracellular matrix protein	Collagen IV BLAST hits and a collagen triple-helix PFAM repeat	high	Collagenous extracellular matrix is a classic mineral-binding scaffold and a strong calcification candidate	high
OG0017138	16	70-978	Arylsulfatase B	Arylsulfatase B (44); Arylsulfatase I (6); Arylsulfatase J (1)	Sulfatase	Sulfatase (14); Kelch motif (2); Polysaccharide lyase (1)	GLOB:13, SP:3	2/16	Secreted arylsulfatase	Arylsulfatase BLAST and sulfatase PFAM hits with secretory signals in a subset of members	high	Remodeling sulfate groups on extracellular glycans can strongly alter calcium binding and mineral-matrix interactions	high
OG0017305	16	55-381		-	Stf0 sulphotransferase	Stf0 sulphotransferase (3)	GLOB:7, SP:9	1/16	Secreted sulfotransferase	Stf0-like sulfotransferase PFAM hits and multiple signal peptides	high	Sulfation of extracellular polysaccharides or proteins is directly relevant to negatively charged mineral-binding matrices	medium
OG0018986	13	334-1074	Metabotropic glutamate receptor-like protein E	Metabotropic glutamate receptor-like protein E (2); Protein DEFECTIVE IN EXINE FORMATION 1 (1); Gamma-aminobutyric acid type B receptor subunit 2 (1)	FG-GAP-like repeat	FG-GAP-like repeat (12); FG-GAP repeat (12); Insecticide toxin TcdB middle/N-terminal region (5)	GLOB:1, SP:2, SP+TM:8, TM:2	7/13	Adhesion receptor with FG-GAP repeats	FG-GAP PFAM repeats plus receptor-like BLAST hits and strong secretory or membrane topology	high	An adhesion receptor could sense or organize extracellular matrix during mineral deposition	medium
OG0020703	11	121-471	Heparan-sulfate 6-O-sulfotransferase 1	Heparan-sulfate 6-O-sulfotransferase 1 (2); Heparan-sulfate 6-O-sulfotransferase 2 (2)	Sulfotransferase family	Sulfotransferase family (1); Sulfotransferase domain (1)	GLOB:5, SP:6	4/11	Secreted sulfotransferase	Heparan-sulfate sulfotransferase BLAST and PFAM matches with multiple secreted members	high	Sulfated extracellular glycans are strong candidates for calcium-binding calcification matrices	high
OG0021347	10	206-347	Trypsin-1	Trypsin-1 (7); Trypsin-4 (4); Trypsin 3A1 (3)	Trypsin	Trypsin (10); Trypsin-like peptidase domain (3); Domain of unknown function (DUF1986) (1)	SP:10	5/10	Secreted trypsin-like protease	Trypsin BLAST and PFAM hits with universal signal-peptide topology	high	Extracellular proteases can process matrix proteins and remodel mineralizing compartments	high
OG0023594	8	198-933	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (6); Glycosyltransferase 8 domain-containing protein 1 (4); Probable galacturonosyltransferase-like 4 (2)	Glycosyl transferase family 8	Glycosyl transferase family 8 (6); Ankyrin repeats (many copies) (2); Ankyrin repeat (2)	GLOB:7, SP+TM:1	1/8	GT8-family glycosyltransferase with ankyrin-repeat scaffold features	GT8 PFAM support plus glycosyltransferase BLAST matches	high	Likely contributes to synthesis or remodeling of matrix polysaccharides that influence mineral nucleation	high
OG0024846	7	159-451	Probable hexosyltransferase MUCI70	Probable hexosyltransferase MUCI70 (1)	TOD1/MUCI70, glycosyltransferase-like domain	TOD1/MUCI70, glycosyltransferase-like domain (4)	GLOB:5, SP:2	1/7	MUCI70-like glycosyltransferase	MUCI70-like BLAST support and glycosyltransferase-like PFAM matches	high	Likely builds extracellular glycans or mucilage-like polymers that can shape mineralization matrices	medium
OG0000049	502	60-1785	FK506-binding protein 15	FK506-binding protein 15 (10); Reticulocyte-binding protein homolog 2a (6); Myosin-10 (3)	FK506-binding protein 15-like domain	FK506-binding protein 15-like domain (7); Coiled-coil domain-containing protein 39 (2); ODF2 C-terminal coiled coil domain (2)	GLOB:495, SP:4, TM:3	2/502	Coiled-coil FKBP15-like scaffold protein	FKBP15-like BLAST and PFAM hits plus pervasive coiled-coils and mostly soluble topology	possible	Could influence vesicle trafficking or cytoskeletal organization needed for secretion of calcification factors	medium
OG0001332	91	94-596	Protein hedgehog	Protein hedgehog (81); Warthog protein 1 (76); Warthog protein 8 (7)	Hint module	Hint module (85); Trypsin (2); Hint domain (2)	GLOB:13, SP:2, SP+TM:3, TM:73	1/91	Hedgehog/Warthog-like secreted morphogen	Dominant hedgehog and warthog BLAST hits plus the Hint module and precursor-like membrane topology	possible	Extracellular developmental signals could regulate morphogenesis of calcifying surfaces rather than mineral chemistry directly	high
OG0001976	73	88-855	Uncharacterized protein in mobD 3'region	Uncharacterized protein in mobD 3'region (220); Uncharacterized protein slr1819 (203); Secreted effector protein PipB2 (119)	Pentapeptide repeats (8 copies)	Pentapeptide repeats (8 copies) (72); Pentapeptide repeat region (70); Pentapeptide repeats (9 copies) (70)	GLOB:60, SP:10, TM:3	4/73	Pentapeptide-repeat-rich extracellular repeat protein	Pentapeptide-repeat PFAM matches with repetitive low-complexity BLAST hits and a minority of secreted members	possible	Repetitive secreted proteins can act as matrix-associated scaffolds but the evidence is weak and the family is poorly resolved	low
OG0010991	27	149-801		-		-	GLOB:22, SP:4, TM:1	4/27	Uncharacterized secreted protein family	No informative homology but several sequences carry signal peptides and most members are soluble	possible	Secreted low-complexity proteins are plausible matrix components but the biochemical role is unresolved	low
