OG	n_sequences	blast_n_with_hit	top_blast_descriptions	pfam_n_with_domain	top_pfam_domains	signalp_counts	deeptmhmm_counts
OG0000049	502	20	Reticulocyte-binding protein homolog 2a(6); FK506-binding protein 15(6); Methyltransferase sdnD(1); Endonuclease III homolog(1); Serine/threonine-protein kinase MRCK beta(1)	14	FKBP15(7)[FK506-binding protein 15-like domain]; CCDC39(2)[Coiled-coil domain-containing protein 39]; ODF2_C(2)[ODF2 C-terminal coiled coil domain]; T4SS_LegC2C7(1)[Dot/Icm T4SS effector LegC2/C7]; MAD(1)[Mitotic checkpoint protein]; Rod_CreS(1)[Crescentin, rod domain]	Other:500, Signal Peptide (Sec/SPI):2	GLOB:495, SP:4, TM:3
OG0001332	91	84	Warthog protein 1(68); Protein hedgehog(6); Warthog protein 8(4); Protein qua-1(2); Desert hedgehog protein(1)	86	Hint(85)[Hint module]; Trypsin(2)[Trypsin]; Hint_2(2)[Hint domain]; Recep_L_domain(1)[Receptor L domain]; Trypsin_2(1)[Trypsin-like peptidase domain]	Other:90, Signal Peptide (Sec/SPI):1	TM:73, GLOB:13, SP+TM:3, SP:2
OG0001976	73	70	Uncharacterized protein slr1819(44); Uncharacterized protein in mobD 3'region(11); Secreted effector protein PipB2(6); Uncharacterized protein slr1851(2); FH protein interacting protein FIP2(2)	72	Pentapeptide(72)[Pentapeptide repeats (8 copies)]; Pentapeptide_4(70)[Pentapeptide repeat region]; Pentapeptide_3(70)[Pentapeptide repeats (9 copies)]; Decapeptide(39)[Decapeptide repeat region]; LD_SV2(24)[SV2A/B/C luminal domain]	Other:69, Signal Peptide (Sec/SPI):4	GLOB:60, SP:10, TM:3
OG0002887	59	16	ATP-dependent DNA helicase PIF1(5); ATP-dependent DNA helicase Pif1(3); ATP-dependent DNA helicase PIF4(3); ATP-dependent DNA helicase PIF7(2); ATP-dependent DNA helicase RRM3(1)	31	PIF1(18)[PIF1-like helicase]; Pif1_2B_dom(17)[DNA helicase Pif1, 2B domain]; AAA_30(7)[AAA domain]; DnaJ(3)[DnaJ domain]; Helitron_like_N(2)[Helitron helicase-like domain at N-terminus]; AAA_19(1)[AAA domain]; OTU(1)[OTU-like cysteine protease]; Herpes_Helicase(1)[Helicase]	Other:58, Signal Peptide (Sec/SPI):1	GLOB:59
OG0003717	51	0		0		Other:51	GLOB:47, TM:4
OG0009246	29	2	Collagen alpha-5(VI) chain(1); Adhesive plaque matrix protein(1)	1	tRNA-synt_2(1)[tRNA synthetases class II (D, K and N)]	Signal Peptide (Sec/SPI):9, Other:20	SP:11, GLOB:14, TM:2, SP+TM:2
OG0009301	29	1	DNA-directed RNA polymerase II subunit RPB1(1)	5	SHOCT(4)[Short C-terminal domain]; PRIMA1(1)[Proline-rich membrane anchor 1]	Signal Peptide (Sec/SPI):21, Other:8	SP+TM:11, SP:11, TM:4, GLOB:3
OG0009816	28	10	Putative alpha-1,3-mannosyltransferase MNN14(9); Alpha-1,3-mannosyltransferase MNN15(1)	15	Mannosyl_trans3(15)[Mannosyltransferase putative]	Other:26, Signal Peptide (Sec/SPI):2	GLOB:19, TM:5, SP+TM:1, SP:3
OG0010177	28	25	Putative ankyrin repeat protein RBE_0220(15); Ankyrin repeat domain-containing protein 29(3); GA-binding protein subunit beta-2(1); Neurofilament heavy polypeptide(1); Ankyrin repeat and SOCS box protein 13(1)	24	Ank_2(24)[Ankyrin repeats (3 copies)]; Ank(24)[Ankyrin repeat]; Ank_5(24)[Ankyrin repeats (many copies)]; Ank_4(24)[Ankyrin repeats (many copies)]; Ank_3(24)[Ankyrin repeat]; Ank_KRIT1(22)[KRIT1 ankyrin-repeats domain]	Other:28	GLOB:28
OG0010867	27	27	Uncharacterized protein slr1819(16); Serine/threonine-protein kinase B(5); Uncharacterized protein in mobD 3'region(3); Uncharacterized protein slr1851(2); Uncharacterized protein slr0516(1)	27	Pentapeptide(27)[Pentapeptide repeats (8 copies)]; Pentapeptide_3(26)[Pentapeptide repeats (9 copies)]; Pentapeptide_4(25)[Pentapeptide repeat region]; Decapeptide(9)[Decapeptide repeat region]; LD_SV2(5)[SV2A/B/C luminal domain]	Other:26, Signal Peptide (Sec/SPI):1	GLOB:23, SP:4
OG0010991	27	0		0		Other:23, Signal Peptide (Sec/SPI):4	GLOB:22, TM:1, SP:4
OG0011061	27	3	Putative PWWP domain-containing DNA repair factor 4(1); Protein piccolo(1); Probable xyloglucan galactosyltransferase GT20(1)	2	Exostosin_GT47(2)[Exostosin GT47 domain]	Signal Peptide (Sec/SPI):9, Other:18	SP+TM:9, TM:18
OG0011197	27	4	Kihadalactone A synthase LFS(2); Gibberellin 2-beta-dioxygenase 7(1); RAP domain-containing protein, chloroplastic(1)	3	2OG-FeII_Oxy(3)[2OG-Fe(II) oxygenase superfamily]	Other:26, Signal Peptide (Sec/SPI):1	SP+TM:1, GLOB:23, TM:1, SP:2
