OG	N_seqs	BLAST_hits_queries	Top_BLAST_desc	Best_BLAST_gene	Best_BLAST_evalue	Best_BLAST_organism	Pfam_hits_queries	Top_Pfam_domains	SigP_pos/total	TMR_pos/total	Mean_TMRs	Max_TMRs
OG0000049	502	20	Reticulocyte-binding protein homolog 2a(n=6); FK506-binding protein 15(n=6); Methyltransferase sdnD(n=1)	nth-1	7.1e-11	Caenorhabditis elegans	14	FKBP15(n=7:FK506-binding protein 15-like domain); CCDC39(n=2:Coiled-coil domain-containing protein 39); ODF2_C(n=2:ODF2 C-terminal coiled coil domain)	2/502	3/502	0.02	6
OG0001332	91	84	Warthog protein 1(n=68); Protein hedgehog(n=6); Warthog protein 8(n=4)	wrt-4	1.2e-15	Caenorhabditis elegans	86	Hint(n=85:Hint module); Trypsin(n=2:Trypsin); Hint_2(n=2:Hint domain)	1/91	76/91	0.90	2
OG0001976	73	70	Uncharacterized protein slr1819(n=44); Uncharacterized protein in mobD 3'region(n=10); Secreted effector protein PipB2(n=7)	slr1819	2.3e-22	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	72	Pentapeptide(n=72:Pentapeptide repeats (8 copies)); Pentapeptide_4(n=70:Pentapeptide repeat region); Pentapeptide_3(n=70:Pentapeptide repeats (9 copies))	4/73	3/73	0.07	2
OG0002887	59	16	ATP-dependent DNA helicase PIF1(n=5); ATP-dependent DNA helicase Pif1(n=3); ATP-dependent DNA helicase PIF4(n=3)	PIF1	8.4e-18	Homo sapiens	31	PIF1(n=18:PIF1-like helicase); Pif1_2B_dom(n=17:DNA helicase Pif1, 2B domain); AAA_30(n=7:AAA domain)	1/59	0/59	0.00	0
OG0003717	51	0					0		0/51	4/51	0.12	2
OG0009246	29	2	Collagen alpha-5(VI) chain(n=1); Adhesive plaque matrix protein(n=1)	FP1	2.1e-08	Mytilus coruscus	1	tRNA-synt_2(n=1:tRNA synthetases class II (D, K and N))	9/29	4/29	0.14	1
OG0009301	29	1	DNA-directed RNA polymerase II subunit RPB1(n=1)	Polr2a	8.5e-04	Mus musculus	5	SHOCT(n=4:Short C-terminal domain); PRIMA1(n=1:Proline-rich membrane anchor 1)	21/29	15/29	0.55	2
OG0009816	28	10	Putative alpha-1,3-mannosyltransferase MNN14(n=9); Alpha-1,3-mannosyltransferase MNN15(n=1)	MNN14	1.9e-12	Candida albicans (strain SC5314 / ATCC MYA-2876)	15	Mannosyl_trans3(n=15:Mannosyltransferase putative)	2/28	6/28	0.36	5
OG0010177	28	25	Putative ankyrin repeat protein RBE_0220(n=15); Ankyrin repeat domain-containing protein 29(n=3); GA-binding protein subunit beta-2(n=1)	RBE_0220	3.5e-16	Rickettsia bellii (strain RML369-C)	24	Ank_2(n=24:Ankyrin repeats (3 copies)); Ank(n=24:Ankyrin repeat); Ank_5(n=24:Ankyrin repeats (many copies))	0/28	0/28	0.00	0
OG0010867	27	27	Uncharacterized protein slr1819(n=17); Serine/threonine-protein kinase B(n=5); Uncharacterized protein in mobD 3'region(n=3)	slr1819	9.9e-23	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	27	Pentapeptide(n=27:Pentapeptide repeats (8 copies)); Pentapeptide_3(n=26:Pentapeptide repeats (9 copies)); Pentapeptide_4(n=25:Pentapeptide repeat region)	1/27	0/27	0.00	0
