OG	n_seq	primary_annotation	key_domains_or_hits	secretion_profile	calcification_relevance	rationale
OG0000049	502	Heterogeneous; dominant FKBP15-like + coiled-coil (CCDC39/ODF2) family; cytosolic	FKBP15; CCDC39; ODF2_C; Reticulocyte-binding proteins	Almost all cytosolic (GLOB 495/502; SP 4; TM 3)	LOW	Giant mixed OG with weak, heterogeneous BLAST/Pfam support (<3% seqs annotated). Pfam hits (FKBP15, coiled-coils) indicate cytoskeletal / protein-interaction roles, not biomineralization. Non-secreted.
OG0001332	91	Hedgehog/Hint-domain autoprocessing proteins (Warthog/hedgehog-like)	Hint module (85/91); Warthog 1 BLAST hits; 2 Trypsin hits	Mostly TM (73) + SP+TM (3); a few GLOB	LOW-MEDIUM	Hedgehog-type Hint-module proteins are membrane-anchored signalling/self-cleaving proteins. In calcifying metazoa Hedgehog signaling can influence skeletogenic cell fate, but evidence here points more broadly to morphogen/cell-fate signalling than direct matrix formation.
OG0001976	73	Bacterial-like pentapeptide-repeat protein (MfpA/Slr1819 family)	Pentapeptide; Pentapeptide_3/4; Decapeptide; LD_SV2	Mostly cytosolic (GLOB 60) with some SP (10)	LOW	Pentapeptide-repeat proteins mimic B-DNA; typically cytosolic/defense. No link to Ca2+/CaCO3 biology.
OG0002887	59	PIF1-family DNA helicases	PIF1; Pif1_2B; AAA_30	All GLOB (59)	LOW	Nuclear/mitochondrial DNA replication-fork helicases. Housekeeping; no mineralization role.
OG0003717	51	Unknown (no BLAST/Pfam hits)	–	Mostly cytosolic (GLOB 47; TM 4)	UNKNOWN	No assignable domains or homology. Worth retaining as lineage-specific candidate but cannot rate without further analysis (structure prediction, synteny).
OG0009246	29	Mixed secreted/ECM-like (collagen VI / mussel adhesive plaque-like)	Collagen alpha-5(VI); Adhesive plaque matrix protein; tRNA-synt_2 (1)	High secretion (SP 11; SP+TM 2; ~45% secreted)	MEDIUM	Hits to collagen VI and byssal/adhesive-plaque matrix proteins plus enrichment for signal peptides suggests secreted ECM/adhesive components, which in calcifying systems can organise the mineralization matrix.
OG0009301	29	Short-C-terminal-domain / PRIMA1-like membrane-anchored secreted proteins	SHOCT (4); PRIMA1 (1)	Strongly secreted and membrane-anchored (SP+TM 11; SP 11; TM 4)	MEDIUM	Predominantly SP+TM with PRIMA1 (proline-rich membrane anchor) hit: cell-surface, likely plasma-membrane anchored. Cell-surface anchors can tether matrix/ectoenzymes (plausible interface for mineral-seeding) but direct evidence is indirect.
OG0009816	28	Alpha-1,3-mannosyltransferase (MNN14/15 family)	Mannosyl_trans3 (15)	Mostly cytosolic/ER-luminal (GLOB 19; TM 5; SP 3; SP+TM 1)	LOW-MEDIUM	Golgi/ER mannosyltransferases glycosylate secreted matrix glycoproteins. Indirect contribution possible via glycosylation of matrix proteins.
OG0010177	28	Ankyrin-repeat protein (Rickettsia RBE_0220-like)	Ank, Ank_2/3/4/5, Ank_KRIT1 (24)	All cytosolic (GLOB 28)	LOW	Pure ankyrin-repeat scaffolds; protein-protein interactions. No secretion or TM; no direct mineralization tie.
OG0010867	27	Bacterial-like pentapeptide-repeat protein (same family as OG0001976/OG0022524)	Pentapeptide; Pentapeptide_3/4; Decapeptide	Mostly cytosolic (GLOB 23; SP 4)	LOW	Same family as OG0001976; likely intracellular.
OG0010991	27	Unknown (no BLAST/Pfam hits)	–	Mostly cytosolic (GLOB 22) with some SP (4) and TM (1)	UNKNOWN	Dark-matter OG; no homology. Small fraction secreted — candidate for further study.
OG0011061	27	Exostosin-family glycosyltransferase (HS/xyloglucan GT47)	Exostosin_GT47 (2); xyloglucan galactosyltransferase hit	Membrane-type II topology dominant (TM 18; SP+TM 9)	HIGH	Exostosin/GT47 = heparan-sulfate (animal) or xyloglucan (plant) polymer chain extension; Golgi type-II membrane enzymes. Heparan sulfate/sulfated polysaccharides are major components of biomineral organic matrices (e.g. skeletal/shell GAGs).
