"orthogroup"	"sequence_count"	"species_count"	"final_function"	"final_calcification_relevance"	"final_rationale"	"evidence_strength_note"	"signalp_positive"	"deeptmhmm_tm_or_beta_count"	"blast_hit_queries"	"pfam_hit_queries"	"top_blast"	"top_pfam"	"deeptmhmm_summary"	"model_consensus_mean_score"	"model_disagreement_sd"
"OG0000049"	"502"	"7"	"Heterogeneous FKBP15/coiled-coil-like expanded family"	"Low"	"Very low BLAST/PFAM coverage and mostly globular; no calcification-specific evidence."	"Several runs over-interpreted weak heterogeneous hits."	"2"	"3"	"20"	"14"	"FK506-binding protein 15 (6); Reticulocyte-binding protein homolog 2a (6); Ciliary rootlet coiled-coil protein 2 (1); Endonuclease III homolog (1); Huntingtin-interacting protein 1 (1)"	"FKBP15 (7; FK506-binding; bestE=1.9E-05); CCDC39 (2; Coiled-coil; bestE=5.5E-06); ODF2_C (2; ODF2; bestE=1.7E-05); MAD (1; Mitotic; bestE=2E-05); Rod_CreS (1; Crescentin,; bestE=2.2E-05); T4SS_LegC2C7 (1; Dot/Icm; bestE=1.6E-05)"	"GLOB:495; SP:4; TM:3"	"1.06"	"0.88"
"OG0001332"	"91"	"8"	"Hint-domain or Hedgehog-Warthog-like membrane autoprocessing proteins"	"Watchlist"	"Strong Hint-domain and membrane topology support cell-surface signalling, but not a direct mineral-matrix function."	"Moderate calls rely on metazoan Hedgehog skeletal biology not shown by these data."	"1"	"76"	"84"	"86"	"Warthog protein 1 (68); Protein hedgehog (6); Warthog protein 8 (4); Protein qua-1 (2); Complement C2 (1)"	"Hint (85; Hint; bestE=2.6E-29); Hint_2 (2; Hint; bestE=1E-05); Trypsin (2; Trypsin; bestE=2.1E-19); Recep_L_domain (1; Receptor; bestE=2.9E-07); Trypsin_2 (1; Trypsin-like; bestE=7.2E-06)"	"GLOB:13; SP:2; SP+TM:3; TM:73"	"1.61"	"1.05"
"OG0001976"	"73"	"7"	"Pentapeptide-repeat protein family"	"Low"	"Strong pentapeptide-repeat support, mostly non-secreted; no direct calcification evidence in the provided data."	"Ca/carbonate-binding claims are overreach without external validation."	"4"	"3"	"70"	"72"	"Uncharacterized protein slr1819 (44); Uncharacterized protein in mobD 3'region (11); Secreted effector protein PipB2 (6); FH protein interacting protein FIP2 (2); Uncharacterized protein slr1152 (2)"	"Pentapeptide (72; Pentapeptide; bestE=1.2E-83); Pentapeptide_3 (70; Pentapeptide; bestE=5.3E-37); Pentapeptide_4 (70; Pentapeptide; bestE=1.3E-48); Decapeptide (39; Decapeptide; bestE=2.3E-17); LD_SV2 (24; SV2A/B/C; bestE=4.4E-10)"	"GLOB:60; SP:10; TM:3"	"1.56"	"1.33"
"OG0002887"	"59"	"9"	"PIF1-family DNA helicase"	"Low"	"Housekeeping genome-maintenance helicase."	""	"1"	"0"	"16"	"31"	"ATP-dependent DNA helicase PIF1 (8); ATP-dependent DNA helicase PIF4 (3); ATP-dependent DNA helicase PIF7 (2); ATP-dependent DNA helicase RRM3 (1); DnaJ homolog subfamily B member 14 (1)"	"PIF1 (18; PIF1-like; bestE=1.2E-68); Pif1_2B_dom (17; DNA; bestE=8.7E-19); AAA_30 (7; AAA; bestE=8.9E-07); DnaJ (3; DnaJ; bestE=9.9E-18); Helitron_like_N (2; Helitron; bestE=2.9E-49); AAA_19 (1; AAA; bestE=3.5E-05)"	"GLOB:59"	"0.5"	"0"
"OG0003717"	"51"	"8"	"Uncharacterized family"	"Low"	"No BLAST/PFAM annotation and weak TM signal only."	""	"0"	"4"	"0"	"0"	""	""	"GLOB:47; TM:4"	"0.94"	"0.53"
"OG0009246"	"29"	"7"	"Secreted adhesive or ECM-like protein family with weak collagen/adhesive BLAST support"	"Moderate"	"SignalP enrichment and adhesive/collagen BLAST hits make this a matrix candidate, but PFAM support is poor and homology coverage is low."	"High calls should be qualified because matrix annotation rests on few hits."	"9"	"4"	"2"	"1"	"Adhesive plaque matrix protein (1); Collagen alpha-5(VI) chain (1)"	"tRNA-synt_2 (1; tRNA; bestE=2.1E-06)"	"GLOB:14; SP:11; SP+TM:2; TM:2"	"2.72"	"1.44"
"OG0009301"	"29"	"7"	"Secreted or membrane-anchored proline-rich/SHOCT-like surface protein"	"Moderate"	"Very strong SignalP and membrane-anchor topology; RPB1 BLAST is likely low-complexity noise. Good surface/matrix candidate but no specific calcification domain."	"RNA polymerase annotation is misleading; high direct calcification calls are overstated."	"21"	"15"	"1"	"5"	"DNA-directed RNA polymerase II subunit RPB1 (1)"	"SHOCT (4; Short; bestE=2.4E-07); PRIMA1 (1; Proline-rich; bestE=6E-05)"	"GLOB:3; SP:11; SP+TM:11; TM:4"	"2.28"	"1.28"
"OG0009816"	"28"	"8"	"Golgi alpha-1,3-mannosyltransferase-like enzyme"	"Moderate"	"Mannosyltransferase PFAM and BLAST support glycosylation of secretory or matrix molecules, an indirect calcification-relevant process."	""	"2"	"6"	"10"	"15"	"Putative alpha-1,3-mannosyltransferase MNN14 (9); Alpha-1,3-mannosyltransferase MNN15 (1)"	"Mannosyl_trans3 (15; Mannosyltransferase; bestE=5.5E-24)"	"GLOB:19; SP:3; SP+TM:1; TM:5"	"2.22"	"1.09"
"OG0010177"	"28"	"7"	"Ankyrin-repeat scaffold protein"	"Low"	"Intracellular scaffold-like annotation with no secretion or calcification-specific evidence."	""	"0"	"0"	"25"	"24"	"Putative ankyrin repeat protein RBE_0220 (15); Ankyrin repeat domain-containing protein 29 (3); Ankyrin repeat and SOCS box protein 13 (1); Ankyrin repeat and SOCS box protein 14 (1); Ankyrin-3 (1)"	"Ank (24; Ankyrin; bestE=1.1E-21); Ank_2 (24; Ankyrin; bestE=1.1E-23); Ank_3 (24; Ankyrin; bestE=1.5E-16); Ank_4 (24; Ankyrin; bestE=3.8E-18); Ank_5 (24; Ankyrin; bestE=7.3E-17); Ank_KRIT1 (22; KRIT1; bestE=2.5E-08)"	"GLOB:28"	"0.5"	"0"
"OG0010867"	"27"	"7"	"Pentapeptide-repeat protein family"	"Low"	"Pentapeptide-repeat support but no strong secretion or mineralization-specific evidence."	"Same overreach risk as OG0001976."	"1"	"0"	"27"	"27"	"Uncharacterized protein slr1819 (16); Serine/threonine-protein kinase B (5); Uncharacterized protein in mobD 3'region (3); Uncharacterized protein slr1851 (2); Uncharacterized protein slr0516 (1)"	"Pentapeptide (27; Pentapeptide; bestE=1.1E-48); Pentapeptide_3 (26; Pentapeptide; bestE=5.1E-31); Pentapeptide_4 (25; Pentapeptide; bestE=7.1E-34); Decapeptide (9; Decapeptide; bestE=5.8E-10); LD_SV2 (5; SV2A/B/C; bestE=2.5E-09)"	"GLOB:23; SP:4"	"1.33"	"1.32"
"OG0010991"	"27"	"7"	"Uncharacterized family with minor secretion signal"	"Watchlist"	"No functional annotation; 4/27 SignalP positives make it a weak orphan follow-up, not a functional calcification call."	""	"4"	"1"	"0"	"0"	""	""	"GLOB:22; SP:4; TM:1"	"1.17"	"0.71"
"OG0011061"	"27"	"9"	"Exostosin/GT47-like membrane glycosyltransferase candidate"	"Moderate"	"All proteins are membrane-associated and two have GT47 support; plausible polysaccharide/matrix biosynthesis role, but low PFAM coverage prevents a high-confidence direct call."	"Several runs called this high despite only 2/27 PFAM-supported sequences."	"9"	"27"	"3"	"2"	"Probable xyloglucan galactosyltransferase GT20 (1); Protein piccolo (1); Putative PWWP domain-containing DNA repair factor 4 (1)"	"Exostosin_GT47 (2; Exostosin; bestE=2.7E-10)"	"SP+TM:9; TM:18"	"2.94"	"1.18"
"OG0011197"	"27"	"8"	"2OG-Fe(II) oxygenase or RAP-like protein"	"Low"	"Weak oxygenase support and top hits do not indicate matrix hydroxylation or calcification."	"Hydroxylase-to-collagen extrapolations are speculative."	"1"	"2"	"4"	"3"	"Kihadalactone A synthase LFS (2); Gibberellin 2-beta-dioxygenase 7 (1); RAP domain-containing protein, chloroplastic (1)"	"2OG-FeII_Oxy (3; 2OG-Fe(II); bestE=1.3E-07)"	"GLOB:23; SP:2; SP+TM:1; TM:1"	"1.06"	"0.88"
"OG0013037"	"24"	"6"	"Weak serine hydrolase or aminopeptidase-like family"	"Low"	"Sparse PFAM/BLAST support and mixed topology; no calcification-specific signal."	""	"5"	"6"	"2"	"1"	"Protein Obscurin (1); Titin (1)"	"Hydrolase_4 (1; Serine; bestE=6.9E-05)"	"GLOB:10; SP:8; SP+TM:1; TM:5"	"1.06"	"0.88"
"OG0014155"	"22"	"8"	"Secreted or lumenal inosine-uridine nucleoside hydrolase"	"Watchlist"	"Strong secretion signal is notable, but enzyme chemistry is nucleotide salvage rather than matrix formation."	"Secreted housekeeping enzymes were often over-ranked as ECM candidates."	"11"	"2"	"15"	"17"	"Nucleoside hydrolase 4 (5); Pyrimidine-specific ribonucleoside hydrolase RihA (5); Nucleoside hydrolase 3 (3); Probable uridine nucleosidase 2 (1); Pyrimidine-specific ribonucleoside hydrolase RihB (1)"	"IU_nuc_hydro (17; Inosine-uridine; bestE=1.3E-36)"	"GLOB:6; SP:14; SP+TM:2"	"1.39"	"1.05"
"OG0014250"	"22"	"8"	"Amidase or Glu-tRNA(Gln) amidotransferase-like enzyme"	"Low"	"High SignalP fraction but annotation points to general amidase/translation-related chemistry, not calcification."	"Medium calls based only on secretion are weak."	"15"	"1"	"18"	"17"	"Glutamyl-tRNA(Gln) amidotransferase subunit A (17); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (1)"	"Amidase (17; Amidase; bestE=1.6E-39)"	"GLOB:4; SP:17; TM:1"	"1.5"	"1"
