og	n_sequences	mean_length_aa	pct_signal_peptide	pct_with_TM	mean_TMRs	n_pfam_hits	n_blast_hits	top_pfam	top_blast	function_short	function_long	calcification_relevance	calcification_rationale
OG0000049	502	673	0.4	0.6	0.02	14	32	FKBP15(7); CCDC39(2); ODF2_C(2); T4SS_LegC2C7(1); MAD(1)	FK506-binding protein 15 (x10); Reticulocyte-binding protein homolog 2a (x6); Myosin-10 (x3)	FKBP15 (x7) / FK506-binding protein 15 (x10)	PFAM: FKBP15 (x7); CCDC39 (x2); ODF2_C (x2); T4SS_LegC2C7 (x1); MAD (x1) | BLAST: FK506-binding protein 15 (x10); Reticulocyte-binding protein homolog 2a (x6); Myosin-10 (x3)	low	no direct evidence
OG0001332	91	289	1.1	83.5	0.90	91	191	Hint(85); Trypsin(2); Hint_2(2); Recep_L_domain(1); Trypsin_2(1)	Protein hedgehog (x81); Warthog protein 1 (x76); Warthog protein 8 (x7)	Hint (x85) / Protein hedgehog (x81)	PFAM: Hint (x85); Trypsin (x2); Hint_2 (x2); Recep_L_domain (x1); Trypsin_2 (x1) | BLAST: Protein hedgehog (x81); Warthog protein 1 (x76); Warthog protein 8 (x7)	low	no direct evidence | topology: membrane-bound (84% TM)
OG0001976	73	302	5.5	4.1	0.07	275	660	Pentapeptide(72); Pentapeptide_4(70); Pentapeptide_3(70); Decapeptide(39); LD_SV2(24)	Uncharacterized protein in mobD 3'region (x220); Uncharacterized protein slr1819 (x203); Secreted effector protein PipB2 (x119)	Pentapeptide (x72) / Uncharacterized protein in mobD 3'region (x220)	PFAM: Pentapeptide (x72); Pentapeptide_4 (x70); Pentapeptide_3 (x70); Decapeptide (x39); LD_SV2 (x24) | BLAST: Uncharacterized protein in mobD 3'region (x220); Uncharacterized protein slr1819 (x203); Secreted effector protein PipB2 (x119)	low	no direct evidence
OG0002887	59	281	1.7	0.0	0.00	50	43	PIF1(18); Pif1_2B_dom(17); AAA_30(7); DnaJ(3); Helitron_like_N(2)	ATP-dependent DNA helicase PIF1 (x14); ATP-dependent DNA helicase Pif1 (x11); ATP-dependent DNA helicase PIF4 (x4)	PIF1 (x18) / ATP-dependent DNA helicase PIF1 (x14)	PFAM: PIF1 (x18); Pif1_2B_dom (x17); AAA_30 (x7); DnaJ (x3); Helitron_like_N (x2) | BLAST: ATP-dependent DNA helicase PIF1 (x14); ATP-dependent DNA helicase Pif1 (x11); ATP-dependent DNA helicase PIF4 (x4)	low	no direct evidence
OG0003717	51	338	0.0	7.8	0.12	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0009246	29	342	31.0	13.8	0.14	1	4	tRNA-synt_2(1)	Adhesive plaque matrix protein (x3); Collagen alpha-5(VI) chain (x1)	tRNA-synt_2 (x1) / Adhesive plaque matrix protein (x3)	PFAM: tRNA-synt_2 (x1) | BLAST: Adhesive plaque matrix protein (x3); Collagen alpha-5(VI) chain (x1)	medium	keyword:COL (ECM/scaffold); keyword:adhesive-plaque (byssal/adhesive matrix protein) | topology: partially secreted (31% SP)
OG0009301	29	219	72.4	51.7	0.55	5	3	SHOCT(4); PRIMA1(1)	DNA-directed RNA polymerase II subunit RPB1 (x3)	SHOCT (x4) / DNA-directed RNA polymerase II subunit RPB1 (x3)	PFAM: SHOCT (x4); PRIMA1 (x1) | BLAST: DNA-directed RNA polymerase II subunit RPB1 (x3)	low	no direct evidence | topology: predominantly secreted (72% SP), membrane-bound (52% TM)
OG0009816	28	502	7.1	21.4	0.36	15	29	Mannosyl_trans3(15)	Putative alpha-1,3-mannosyltransferase MNN14 (x10); Putative alpha-1,3-mannosyltransferase MNN12 (x7); Putative alpha-1,3-mannosyltransferase MNN13 (x7)	Mannosyl_trans3 (x15) / Putative alpha-1,3-mannosyltransferase MNN14 (x10)	PFAM: Mannosyl_trans3 (x15) | BLAST: Putative alpha-1,3-mannosyltransferase MNN14 (x10); Putative alpha-1,3-mannosyltransferase MNN12 (x7); Putative alpha-1,3-mannosyltransferase MNN13 (x7)	low	no direct evidence | topology: partial TM (21% TM)
OG0010177	28	315	0.0	0.0	0.00	142	317	Ank_2(24); Ank(24); Ank_5(24); Ank_4(24); Ank_3(24)	Ankyrin repeat domain-containing protein 17 (x91); Putative ankyrin repeat protein RBE_0220 (x48); Ankyrin repeat domain-containing protein 29 (x47)	Ank_2 (x24) / Ankyrin repeat domain-containing protein 17 (x91)	PFAM: Ank_2 (x24); Ank (x24); Ank_5 (x24); Ank_4 (x24); Ank_3 (x24) | BLAST: Ankyrin repeat domain-containing protein 17 (x91); Putative ankyrin repeat protein RBE_0220 (x48); Ankyrin repeat domain-containing protein 29 (x47)	low	no direct evidence
OG0010867	27	340	3.7	0.0	0.00	92	224	Pentapeptide(27); Pentapeptide_3(26); Pentapeptide_4(25); Decapeptide(9); LD_SV2(5)	Uncharacterized protein in mobD 3'region (x79); Uncharacterized protein slr1819 (x70); Uncharacterized protein slr1152 (x42)	Pentapeptide (x27) / Uncharacterized protein in mobD 3'region (x79)	PFAM: Pentapeptide (x27); Pentapeptide_3 (x26); Pentapeptide_4 (x25); Decapeptide (x9); LD_SV2 (x5) | BLAST: Uncharacterized protein in mobD 3'region (x79); Uncharacterized protein slr1819 (x70); Uncharacterized protein slr1152 (x42)	low	no direct evidence
